date,close,open,high,low,volume
1993-02-03,1300.56,1283.26,1326.19,1265.7,0.0
1993-02-04,1371.58,1297.56,1371.58,1297.46,0.0
1993-02-05,1332.96,1373.95,1404.64,1325.85,0.0
1993-02-08,1393.17,1373.99,1393.34,1334.19,0.0
1993-02-09,1474.92,1473.89,1483.52,1426.48,0.0
1993-02-10,1454.46,1511.59,1528.51,1448.07,0.0
1993-02-11,1397.38,1473.25,1497.01,1364.67,0.0
1993-02-12,1458.76,1394.81,1458.76,1352.27,0.0
1993-02-15,1536.82,1526.1,1536.82,1499.1,0.0
1993-02-16,1513.48,1516.73,1558.95,1504.36,0.0
1993-02-17,1504.0,1522.13,1533.58,1502.88,0.0
1993-02-18,1508.22,1526.39,1538.61,1497.79,0.0
1993-02-19,1499.74,1471.56,1514.46,1441.07,0.0
1993-02-22,1456.29,1487.84,1527.13,1453.31,0.0
1993-02-23,1367.36,1412.68,1466.07,1346.15,0.0
1993-02-24,1264.96,1289.28,1346.48,1196.47,0.0
1993-02-25,1410.36,1357.55,1421.35,1261.76,0.0
1993-02-26,1339.88,1348.33,1444.05,1320.89,0.0
1993-03-01,1199.73,1328.22,1339.1,1199.73,0.0
1993-03-02,1245.11,1207.57,1285.17,1186.34,0.0
1993-03-03,1231.77,1263.74,1267.54,1220.03,0.0
1993-03-04,1159.13,1231.92,1244.65,1131.29,0.0
1993-03-05,1109.0,1116.41,1180.58,1026.18,0.0
1993-03-08,1209.65,1133.52,1325.49,1133.46,0.0
1993-03-09,1137.79,1160.13,1209.66,1129.81,0.0
1993-03-10,1188.97,1099.52,1190.33,1089.36,0.0
1993-03-11,1261.8,1219.47,1261.8,1196.25,0.0
1993-03-12,1236.37,1280.37,1286.07,1231.39,0.0
1993-03-15,1171.0,1226.48,1247.63,1177.75,0.0
1993-03-16,1222.55,1167.91,1222.55,1155.1,0.0
1993-03-17,1202.85,1238.8,1239.38,1193.59,0.0
1993-03-18,1184.48,1203.2,1206.59,1171.43,0.0
1993-03-19,1174.99,1188.37,1207.56,1171.63,0.0
1993-03-22,1036.92,1148.29,1179.05,1036.92,0.0
1993-03-23,971.25,1035.6,1035.63,958.42,0.0
1993-03-24,956.97,965.58,996.68,956.97,0.0
1993-03-25,945.42,963.53,965.96,913.74,0.0
1993-03-26,1039.76,969.24,1039.76,945.93,0.0
1993-03-29,970.4,990.92,1010.54,961.72,0.0
1993-03-30,958.05,973.08,992.11,958.05,0.0
1993-03-31,925.91,953.29,957.94,918.4,0.0
1993-04-01,947.23,921.59,949.77,915.59,0.0
1993-04-02,944.01,953.51,968.05,940.55,0.0
1993-04-05,947.87,945.58,947.9,924.49,0.0
1993-04-06,1059.62,949.81,1064.87,949.05,0.0
1993-04-07,1099.62,1108.64,1182.99,1076.45,0.0
1993-04-08,1238.0,1099.62,1237.07,1099.62,0.0
1993-04-09,1243.02,1322.07,1340.91,1236.46,0.0
1993-04-12,1203.54,1254.62,1276.41,1195.57,0.0
1993-04-13,1297.36,1183.7,1297.36,1180.88,0.0
1993-04-14,1272.39,1326.85,1339.93,1267.6,0.0
1993-04-15,1278.84,1265.3,1298.34,1255.94,0.0
1993-04-16,1214.75,1282.79,1287.08,1211.83,0.0
1993-04-19,1223.22,1203.85,1241.86,1185.76,0.0
1993-04-20,1235.52,1257.1,1257.1,1233.72,0.0
1993-04-21,1222.56,1234.71,1243.47,1220.09,0.0
1993-04-22,1267.35,1227.1,1267.35,1220.27,0.0
1993-04-23,1260.25,1288.51,1295.76,1255.87,0.0
1993-04-26,1345.61,1298.92,1345.73,1282.54,0.0
1993-04-27,1363.44,1379.43,1391.42,1360.83,0.0
1993-04-28,1372.5,1371.1,1382.83,1357.91,0.0
1993-04-29,1349.68,1377.04,1392.62,1348.38,0.0
1993-04-30,1358.78,1341.54,1363.11,1336.59,0.0
1993-05-03,1352.24,1379.71,1380.5,1349.74,0.0
1993-05-04,1241.16,1352.08,1365.92,1234.55,0.0
1993-05-05,1246.82,1232.65,1273.13,1204.06,0.0
1993-05-06,1162.92,1250.39,1250.39,1151.49,0.0
1993-05-07,1199.81,1194.26,1210.78,1159.16,0.0
1993-05-10,1128.29,1216.72,1221.98,1110.94,0.0
1993-05-11,1136.74,1124.85,1138.49,1107.66,0.0
1993-05-12,1140.05,1138.62,1160.42,1134.75,0.0
1993-05-13,1177.28,1140.21,1177.28,1140.21,0.0
1993-05-14,1167.47,1180.46,1201.44,1161.19,0.0
1993-05-17,1140.04,1162.07,1162.07,1097.61,0.0
