,up_dt,up_price,down_dt,down_price,highest,weeks,rise_rate%,down_up%,id
1229,2011-11-04,25.03,2011-12-23,16.19,23.54,7,0.0,-35.32,002182
1230,2015-12-18,27.1,2016-01-29,16.63,25.48,6,0.0,-38.63,002182
1231,2016-05-06,23.68,2016-06-08,25.97,25.97,5,21.7,9.67,002182
1232,2017-08-11,33.62,2017-11-10,28.94,40.22,12,14.62,-13.92,002182
1233,2014-07-04,55.84,2016-03-18,195.76,496.95,68,779.4,250.57,002183
1234,2015-11-06,73.3,2016-02-05,58.1,87.22,13,22.85,-20.74,002184
1235,2019-04-19,26.82,2019-05-24,23.38,24.96,5,0.0,-12.83,002184
1236,2013-03-08,18.56,2014-05-30,35.48,45.81,64,160.43,91.16,002185
1237,2014-07-04,41.48,2015-09-30,46.87,93.17,64,138.23,12.99,002185
1238,2015-12-04,63.21,2016-01-29,46.01,62.76,8,4.88,-27.21,002185
1239,2021-08-06,157.43,2021-08-27,141.27,144.39,3,0.0,-10.26,002185
1240,2015-12-11,31.28,2016-01-15,26.46,33.86,5,3.2,-15.41,002187
1241,2020-01-10,21.58,2020-03-13,19.06,21.09,8,0.24,-11.68,002187
1242,2013-09-18,18.26,2013-12-20,15.83,20.43,13,5.47,-13.31,002188
1243,2014-02-21,18.67,2014-05-09,16.9,18.4,11,4.78,-9.48,002188
1244,2020-02-14,8.98,2020-06-05,8.04,9.98,16,14.84,-10.47,002188
1245,2014-02-14,8.54,2015-08-28,19.78,49.83,80,481.45,131.62,002189
1246,2015-12-11,33.04,2016-01-22,22.9,36.34,6,0.36,-30.69,002189
1247,2016-04-01,33.83,2016-05-27,27.59,31.87,8,2.44,-18.45,002189
1248,2015-03-20,109.02,2015-08-21,115.86,175.12,22,59.61,6.27,002190
1249,2020-06-24,56.76,2021-03-19,63.67,84.54,38,45.56,12.17,002190
1250,2021-07-23,78.07,2021-10-15,65.84,82.34,12,12.7,-15.67,002190
1251,2014-09-19,38.21,2014-11-14,35.45,38.31,8,0.45,-7.22,002191
1252,2015-02-13,41.09,2016-06-17,57.7,96.2,43,131.03,40.42,002191
1253,2017-10-27,58.85,2017-11-17,51.12,56.36,3,0.0,-13.14,002191
1254,2015-11-13,78.88,2016-09-30,83.1,133.17,45,67.55,5.35,002192
1255,2011-04-01,35.52,2011-06-10,26.74,34.28,10,0.0,-24.72,002193
1256,2015-11-27,35.92,2016-01-29,26.22,40.0,9,5.88,-27.0,002193
1257,2015-12-11,46.78,2016-01-29,31.83,48.91,7,1.41,-31.96,002194
1258,2015-12-11,178.67,2016-01-08,140.69,181.64,4,0.51,-21.26,002195
1259,2019-03-22,135.47,2019-07-19,109.27,136.55,17,2.42,-19.34,002195
1260,2013-08-09,29.35,2015-10-09,67.73,214.16,111,670.64,130.77,002197
1261,2015-11-13,104.67,2016-02-26,75.91,114.12,14,2.24,-27.48,002197
