,id,box_p,box_os,profit_percent_per_year,max_loss_percent,max_drawdown_len,avg_drawdown_len
342,195-10,195,10,0.0,0.0,0,0.0
343,195-20,195,20,0.0,0.0,0,0.0
344,195-30,195,30,60.0,-19.15,2,1.5
345,195-40,195,40,35.0,-19.22,2,1.25
346,195-50,195,50,30.0,-28.55,2,1.08
347,195-60,195,60,27.5,-28.55,2,1.16
348,195-70,195,70,22.5,-33.56,3,1.41
349,195-80,195,80,20.0,-33.56,4,1.33
350,195-90,195,90,20.0,-33.56,4,1.5
351,200-10,200,10,0.0,0.0,0,0.0
352,200-20,200,20,0.0,0.0,0,0.0
353,200-30,200,30,62.5,-19.15,2,1.5
354,200-40,200,40,35.0,-19.22,2,1.25
355,200-50,200,50,37.5,-28.55,2,1.09
356,200-60,200,60,27.5,-28.55,2,1.11
357,200-70,200,70,20.0,-33.56,3,1.36
358,200-80,200,80,22.5,-33.56,4,1.32
359,200-90,200,90,20.0,-33.56,4,1.5
360,205-10,205,10,0.0,0.0,0,0.0
361,205-20,205,20,0.0,0.0,0,0.0
362,205-30,205,30,47.5,-19.15,2,1.5
363,205-40,205,40,37.5,-19.15,2,1.25
364,205-50,205,50,37.5,-26.6,2,1.0
365,205-60,205,60,27.5,-28.55,2,1.0
366,205-70,205,70,20.0,-33.56,3,1.27
367,205-80,205,80,20.0,-33.56,4,1.26
368,205-90,205,90,22.5,-33.56,4,1.45
369,210-10,210,10,0.0,0.0,0,0.0
370,210-20,210,20,0.0,0.0,0,0.0
371,210-30,210,30,47.5,-19.15,2,1.5
372,210-40,210,40,37.5,-19.15,2,1.25
373,210-50,210,50,40.0,-26.6,2,1.0
374,210-60,210,60,30.0,-28.0,2,0.94
375,210-70,210,70,22.5,-33.56,3,1.18
376,210-80,210,80,20.0,-34.59,4,1.21
377,210-90,210,90,22.5,-34.59,4,1.38
378,215-10,215,10,0.0,0.0,0,0.0
379,215-20,215,20,0.0,0.0,0,0.0
380,215-30,215,30,67.5,-19.15,1,1.0
381,215-40,215,40,40.0,-19.15,1,1.0
382,215-50,215,50,45.0,-26.6,1,0.9
383,215-60,215,60,32.5,-30.95,1,0.85
384,215-70,215,70,25.0,-34.3,3,1.14
385,215-80,215,80,22.5,-34.3,4,1.14
386,215-90,215,90,20.0,-36.11,4,1.33
387,220-10,220,10,0.0,0.0,0,0.0
388,220-20,220,20,0.0,0.0,0,0.0
389,220-30,220,30,77.5,-19.15,1,1.0
390,220-40,220,40,40.0,-19.15,1,1.0
391,220-50,220,50,50.0,-26.6,1,0.9
392,220-60,220,60,32.5,-30.95,1,0.85
393,220-70,220,70,22.5,-39.88,3,1.1
394,220-80,220,80,22.5,-34.3,4,1.14
395,220-90,220,90,22.5,-36.11,4,1.29
396,225-10,225,10,0.0,0.0,0,0.0
397,225-20,225,20,0.0,0.0,0,0.0
398,225-30,225,30,70.0,-19.15,0,0.0
399,225-40,225,40,42.5,-19.15,1,1.0
400,225-50,225,50,50.0,-26.6,1,0.88
401,225-60,225,60,30.0,-30.95,1,0.83
402,225-70,225,70,22.5,-39.88,3,1.12
403,225-80,225,80,22.5,-33.56,4,1.16
404,225-90,225,90,22.5,-36.11,4,1.33
405,230-10,230,10,0.0,0.0,0,0.0
406,230-20,230,20,0.0,0.0,0,0.0
407,230-30,230,30,82.5,-9.83,0,0.0
408,230-40,230,40,47.5,-19.15,1,1.0
409,230-50,230,50,50.0,-26.6,1,0.83
410,230-60,230,60,30.0,-31.16,1,0.83
411,230-70,230,70,22.5,-39.88,3,1.14
412,230-80,230,80,25.0,-33.56,4,1.25
413,230-90,230,90,22.5,-36.11,4,1.44
414,235-10,235,10,0.0,0.0,0,0.0
415,235-20,235,20,0.0,0.0,0,0.0
416,235-30,235,30,77.5,-9.83,0,0.0
417,235-40,235,40,47.5,-19.15,1,1.0
418,235-50,235,50,50.0,-26.6,1,0.86
419,235-60,235,60,27.5,-30.95,1,0.82
420,235-70,235,70,27.5,-39.88,3,1.08
421,235-80,235,80,25.0,-33.56,4,1.25
422,235-90,235,90,22.5,-36.11,4,1.44
423,240-10,240,10,0.0,0.0,0,0.0
424,240-20,240,20,0.0,0.0,0,0.0
425,240-30,240,30,77.5,-9.83,0,0.0
426,240-40,240,40,47.5,-19.15,1,1.0
427,240-50,240,50,47.5,-26.6,1,0.83
428,240-60,240,60,25.0,-30.95,1,0.8
429,240-70,240,70,27.5,-39.88,3,1.08
430,240-80,240,80,25.0,-33.56,4,1.25
431,240-90,240,90,22.5,-36.11,4,1.44
432,245-10,245,10,0.0,0.0,0,0.0
433,245-20,245,20,0.0,0.0,0,0.0
434,245-30,245,30,77.5,-9.83,0,0.0
435,245-40,245,40,47.5,-19.15,1,1.0
436,245-50,245,50,52.5,-24.9,1,1.0
437,245-60,245,60,22.5,-30.95,1,0.78
438,245-70,245,70,30.0,-39.88,3,1.08
439,245-80,245,80,25.0,-33.56,4,1.19
440,245-90,245,90,22.5,-36.11,4,1.38
